stdID,mid-term,final,faculty,department
std1,60,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Siyaset Bilimi ve Kamu Yönetimi
std2,34,67,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std3,25,75,EĞİTİM FAKÜLTESİ,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği
std4,50,66,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std5,50,66,EĞİTİM FAKÜLTESİ,Okul Öncesi Öğretmenliği
std6,88,72,ZİRAAT FAKÜLTESİ,Bahçe Bitkileri
std7,45,37,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Beden Eğitimi ve Spor Öğretmenliği
std8,52,50,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std9,20,20,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std10,70,70,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık (İÖ)
std11,20,80,EĞİTİM FAKÜLTESİ,Sınıf Öğretmenliği
std12,46,59,FEN EDEBİYAT FAKÜLTESİ,Arkeoloji
std13,56,57,FEN EDEBİYAT FAKÜLTESİ,Arkeoloji
std14,61,71,FEN EDEBİYAT FAKÜLTESİ,Arkeoloji
std15,76,80,ZİRAAT FAKÜLTESİ,Bitki Koruma
std16,65,56,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std17,95,64,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std18,100,64,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std19,10,40,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce)
std20,100,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std21,75,56,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std22,70,64,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std23,75,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std24,100,56,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std25,70,60,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std26,100,68,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std27,100,56,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,Uluslararası İlişkiler (%30 İngilizce) (İÖ)
std28,52,57,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std29,80,65,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std30,68,80,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std31,60,60,NEŞET ERTAŞ GÜZEL SANATLAR FAKÜLTESİ,Müzik
std32,59,64,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std33,34,44,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std34,72,70,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std35,34,52,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std36,22,36,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std37,69,60,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Antrenörlük Eğitimi
std38,34,18,BEDEN EĞİTİMİ VE SPOR YÜKSEKOKULU,Spor Yöneticiliği
std39,55,80,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std40,40,74,EĞİTİM FAKÜLTESİ,Fen Bilgisi Öğretmenliği
std41,80,70,EĞİTİM FAKÜLTESİ,İlköğretim Matematik Öğretmenliği
std42,84,56,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std43,52,50,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std44,48,75,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std45,68,46,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std46,76,80,EĞİTİM FAKÜLTESİ,Sosyal Bilgiler Öğretmenliği
std47,45,40,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std48,35,75,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std49,55,45,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std50,70,50,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std51,50,45,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std52,75,60,EĞİTİM FAKÜLTESİ,Türkçe Öğretmenliği
std53,50,66,EĞİTİM FAKÜLTESİ,Okul Öncesi Öğretmenliği
std54,30,25,EĞİTİM FAKÜLTESİ,Okul Öncesi Öğretmenliği
std55,30,80,EĞİTİM FAKÜLTESİ,Okul Öncesi Öğretmenliği
std56,50,66,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std57,40,55,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std58,30,30,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std59,85,60,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std60,30,45,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std61,30,30,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std62,40,30,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık
std63,35,40,EĞİTİM FAKÜLTESİ,Rehberlik ve Psikolojik Danışmanlık (İÖ)
std64,25,40,EĞİTİM FAKÜLTESİ,Sınıf Öğretmenliği
std65,75,70,EĞİTİM FAKÜLTESİ,Sınıf Öğretmenliği
std66,56,68,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std67,68,92,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std68,58,71,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std69,39,60,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std70,67,80,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std71,79,74,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std72,70,65,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std73,59,66,FEN EDEBİYAT FAKÜLTESİ,Moleküler Biyoloji ve Genetik
std74,74,71,FEN EDEBİYAT FAKÜLTESİ,Matematik
std75,53,67,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std76,44,56,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std77,58,69,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
std78,58,66,FEN EDEBİYAT FAKÜLTESİ,Tarih (İÖ)
